Feature,Coefficient,Abs_Coefficient
grade_trend,0.9864104024832386,0.9864104024832386
failures,-0.7623205114556604,0.7623205114556604
Dalc,-0.4708755198571379,0.4708755198571379
studytime,0.4326703139637065,0.4326703139637065
Walc,-0.4228586354418647,0.4228586354418647
absences,-0.28315672604896447,0.28315672604896447
Mjob,0.2759435206282297,0.2759435206282297
health,0.24808714172901541,0.24808714172901541
avg_parent_edu,0.2453659500044424,0.2453659500044424
Medu,0.2383089968828776,0.2383089968828776
freetime,0.13274610688252428,0.13274610688252428
internet,0.12915647719221315,0.12915647719221315
nursery,0.12641623743787123,0.12641623743787123
schoolsup,0.12576211943497811,0.12576211943497811
goout,-0.12531083678703173,0.12531083678703173
paid,0.12094724835811889,0.12094724835811889
famsize,-0.12008910234099701,0.12008910234099701
Fedu,0.11823650214588431,0.11823650214588431
address,0.10273773082326042,0.10273773082326042
higher,0.09250130548318243,0.09250130548318243
famrel,0.07214289457839644,0.07214289457839644
reason,-0.07126406074631736,0.07126406074631736
romantic,-0.06611620017264838,0.06611620017264838
activities,-0.061730066105515506,0.061730066105515506
guardian,-0.05053664896213555,0.05053664896213555
famsup,0.04828825317278374,0.04828825317278374
Pstatus,-0.04633487288458857,0.04633487288458857
sex,0.04548061797125008,0.04548061797125008
traveltime,0.03978742257640152,0.03978742257640152
age,0.03330577548439604,0.03330577548439604
study_efficiency,0.03288316227583695,0.03288316227583695
school,0.028832909063307054,0.028832909063307054
Fjob,0.015892414022589528,0.015892414022589528
