eps,min_samples,n_clusters,n_noise,silhouette,ari
0.3,3,10,84,-0.14729986910161358,0.17375751538172873
0.3,5,3,120,-0.1941947686285083,0.08759538435941186
0.3,7,2,129,0.17509759538454042,0.06407669487478859
0.4,3,10,39,0.15125088552326663,0.37199196679773633
0.4,5,6,66,0.027670001694674724,0.36550715288152474
0.4,7,3,109,-0.15164465716460526,0.17935427089123587
0.5,3,7,17,0.15971036873870176,0.4525746356418138
0.5,5,2,34,0.35651648142700726,0.4420986685885924
0.5,7,5,46,0.1391483140504276,0.4683382952916529
0.6,3,4,9,0.29516241784322833,0.5238576155196973
0.6,5,2,26,0.4027617471797909,0.4706267335681117
0.6,7,2,32,0.36237682312338204,0.446996193501622
0.7,3,2,5,0.5080668523761808,0.5503169680510004
0.7,5,2,6,0.523400848673573,0.5400773829118303
0.7,7,2,16,0.46313353802987145,0.5052693977241605
0.8,3,2,4,0.5216965052515835,0.5517553852833211
0.8,5,2,4,0.5216965052515835,0.5517553852833211
0.8,7,2,7,0.5225742665342991,0.5359658179925626
