PC,Variance Explained,Cumulative Variance
PC1,0.3619884809992632,0.3619884809992632
PC2,0.19207490257008938,0.5540633835693526
PC3,0.1112363053624998,0.6652996889318524
PC4,0.0706903018271403,0.7359899907589927
PC5,0.06563293679648602,0.8016229275554787
PC6,0.0493582331922257,0.8509811607477044
PC7,0.04238679322623321,0.8933679539739375
PC8,0.026807489483788676,0.9201754434577262
PC9,0.02222153404789719,0.9423969775056233
PC10,0.01930019093944081,0.9616971684450641
PC11,0.01736835689989913,0.9790655253449633
PC12,0.012982325756042103,0.9920478511010054
PC13,0.00795214889899452,0.9999999999999999
