n_components,accuracy,variance_explained
64,0.9638888888888889,1.0
1,0.3333333333333333,0.12039695277087677
2,0.5222222222222223,0.21702382700152578
3,0.7194444444444444,0.30039130733078123
4,0.8222222222222222,0.36722844958717404
5,0.8305555555555556,0.41615366806905507
6,0.8555555555555555,0.45943691345210075
7,0.9138888888888889,0.49815255492156874
8,0.9222222222222223,0.5315873773239586
9,0.9333333333333333,0.5615108051916475
10,0.9444444444444444,0.5898176727934901
15,0.9555555555555556,0.7068963316623003
20,0.9527777777777777,0.7898940529296021
25,0.9694444444444444,0.8503510721570293
30,0.9694444444444444,0.8933148873362556
35,0.9722222222222222,0.9269493710626261
40,0.9722222222222222,0.951554400456521
45,0.975,0.9697984021874663
50,0.9694444444444444,0.9832655398402805
55,0.9694444444444444,0.9926119088427788
60,0.9638888888888889,0.9991753482337308
