Feature,Importance
Feature_9,0.027801612825307555
Feature_47,0.027294810510338236
Feature_39,0.02726276763434702
Feature_20,0.025803879848654575
Feature_28,0.025616143644244815
Feature_30,0.025219801854022398
Feature_27,0.02516280200061621
Feature_18,0.024489245518202925
Feature_23,0.02346324543268466
Feature_34,0.02333305936113179
Feature_25,0.022689887853704356
Feature_42,0.022496128853531683
Feature_15,0.022084542770606338
Feature_37,0.02204695723057952
Feature_4,0.02194797875669401
Feature_22,0.02184031087533818
Feature_14,0.021702018135184374
Feature_8,0.021584052524697146
Feature_41,0.021256171932474956
Feature_29,0.020895134363519127
Feature_36,0.0206738889932666
Feature_46,0.020565620904903294
Feature_2,0.020283716906949304
Feature_17,0.01976971533815261
Feature_1,0.01960558570588064
Feature_7,0.019574742312226525
Feature_43,0.01948205324893927
Feature_45,0.019098173502096513
Feature_11,0.019063786903205388
Feature_16,0.019054453459140263
Feature_0,0.01901103237588136
Feature_26,0.018921192300691468
Feature_38,0.01889146214652828
Feature_48,0.018501870661150676
Feature_5,0.018332852375481705
Feature_3,0.018226407530987233
Feature_6,0.018101808448733655
Feature_13,0.01802635545364995
Feature_44,0.01788764642468743
Feature_40,0.017829341478432046
Feature_19,0.017655111285020245
Feature_31,0.017394799586082844
Feature_24,0.017316531401430545
Feature_32,0.016543999886767313
Feature_33,0.016054856318905904
Feature_35,0.012334410256492234
Feature_10,0.012131496135409058
Feature_12,0.0120648751370658
Feature_21,0.011907925728973241
Feature_49,0.011703735866988772
