Feature,PCA_Contribution,Original_Importance
Feature_19,0.024456419450596338,0.017655111285020245
Feature_37,0.02386122573932567,0.02204695723057952
Feature_42,0.02380083540089962,0.022496128853531683
Feature_7,0.023700611221848526,0.019574742312226525
Feature_2,0.023229067470929798,0.020283716906949304
Feature_1,0.02315094546565275,0.01960558570588064
Feature_5,0.023117442473933332,0.018332852375481705
Feature_43,0.023097639378238752,0.01948205324893927
Feature_17,0.02308778450053393,0.01976971533815261
Feature_22,0.02305531512514412,0.02184031087533818
Feature_23,0.0229284134814439,0.02346324543268466
Feature_47,0.022734681071593824,0.027294810510338236
Feature_15,0.022697066800226404,0.022084542770606338
Feature_46,0.022670046320416835,0.020565620904903294
Feature_11,0.02255199858311808,0.019063786903205388
Feature_28,0.02252335155786151,0.025616143644244815
Feature_27,0.022453152068515798,0.02516280200061621
Feature_48,0.022396252946611687,0.018501870661150676
Feature_44,0.022326772890031266,0.01788764642468743
Feature_24,0.022258574941143604,0.017316531401430545
Feature_39,0.022216888411074952,0.02726276763434702
Feature_18,0.022147936022064843,0.024489245518202925
Feature_40,0.02212113601963564,0.017829341478432046
Feature_36,0.022102308898872405,0.0206738889932666
Feature_25,0.02201879326252433,0.022689887853704356
Feature_13,0.02189615672426351,0.01802635545364995
Feature_4,0.021881134574961957,0.02194797875669401
Feature_0,0.021446003853103243,0.01901103237588136
Feature_16,0.021368059804848873,0.019054453459140263
Feature_6,0.021269549138933173,0.018101808448733655
Feature_9,0.0210612563251884,0.027801612825307555
Feature_14,0.02066154948967925,0.021702018135184374
Feature_8,0.020214536054893813,0.021584052524697146
Feature_30,0.02012355125514868,0.025219801854022398
Feature_12,0.01883088351227517,0.0120648751370658
Feature_34,0.018300176803774677,0.02333305936113179
Feature_49,0.018161432169962296,0.011703735866988772
Feature_10,0.017557671612833423,0.012131496135409058
Feature_35,0.01669333574531193,0.012334410256492234
Feature_21,0.016672751931611263,0.011907925728973241
Feature_20,0.01499084634474602,0.025803879848654575
Feature_38,0.013984856155015081,0.01889146214652828
Feature_26,0.013930843928632796,0.018921192300691468
Feature_33,0.01384850630687902,0.016054856318905904
Feature_32,0.01327207223784092,0.016543999886767313
Feature_45,0.013186650788520106,0.019098173502096513
Feature_29,0.01314979649730519,0.020895134363519127
Feature_31,0.012974005092739332,0.017394799586082844
Feature_41,0.012296978122648244,0.021256171932474956
Feature_3,0.011522736026645641,0.018226407530987233
